Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;18/9/2019;1058438;110703;7204;-81585;947735;147
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;19/9/2019;3996573;471115;27089;29501;3525458;148
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;20/9/2019;3095189;2058165;20860;88076;1037024;148
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;21/9/2019;0;3660335;0;76654;-3660335;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;23/9/2019;134329;345925;915;5095;-211596;147
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;24/9/2019;10730245;1379266;73649;-70350;9350979;146
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;25/9/2019;3792182;110715;25604;2628;3681467;148
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;26/9/2019;2131539;8792304;14680;226406;-6660765;145
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;27/9/2019;380338;11224241;2565;127690;-10843903;148
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;28/9/2019;2265200;0;15630;0;2265200;145
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Septiembre;30/9/2019;4318315;108249;29785;-46270;4210066;145
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;1/10/2019;3246730;0;21730;1490;3246730;149
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;2/10/2019;4638039;-161267;29320;-5476;4799306;158
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;3/10/2019;13686754;1502752;84960;20800;12184002;161
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;4/10/2019;1099328;18188;7209;252;1081140;152
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;5/10/2019;16750;0;28;0;16750;598
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;7/10/2019;5788299;17537;36740;770;5770762;158
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;8/10/2019;433238;2592996;2890;36905;-2159758;150
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;9/10/2019;10650249;137265;66800;3085;10512984;159
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2019;Octubre;10/10/2019;754795;431088;4930;10150;323707;153
